Файл:prof00_20_05_027_812.90489 - пустой, пропускаю
Файл:prof00_27_44_057_812.91237 - пустой, пропускаю
Файл:prof00_29_40_036_812.41030 - пустой, пропускаю
Файл:prof00_29_49_025_812.77345 - время обработки 30 пакетов (документов: 368776): 00:30:00.019, сброс в БД: 00:17:55.339 (59 % от общего времени)
Файл:prof00_37_56_061_812.92270 - пустой, пропускаю
Файл:prof00_39_23_070_812.92422 - пустой, пропускаю
Файл:prof00_39_28_059_812.77494 - время обработки 20 пакетов (документов: 485054): 00:40:45.504, сброс в БД: 00:24:13.541 (59 % от общего времени)
Файл:prof00_41_51_023_812.42432 - пустой, пропускаю
Файл:prof00_43_56_174_812.92752 - пустой, пропускаю
Файл:prof00_47_53_057_812.43116 - пустой, пропускаю
Файл:prof00_49_30_067_812.93204 - пустой, пропускаю
Файл:prof01_00_30_034_812.94333 - пустой, пропускаю
Файл:prof01_01_43_114_812.77596 - время обработки 20 пакетов (документов: 352029): 00:29:56.858, сброс в БД: 00:17:48.717 (59 % от общего времени)
Файл:prof01_04_37_091_812.77670 - время обработки 10 пакетов (документов: 497018): 00:41:06.289, сброс в БД: 00:24:30.947 (59 % от общего времени)
Файл:prof01_11_12_229_812.45805 - пустой, пропускаю
Файл:prof01_12_07_077_812.45899 - пустой, пропускаю
Файл:prof01_13_26_047_812.46084 - пустой, пропускаю
Файл:prof01_25_24_171_812.96894 - пустой, пропускаю
Файл:prof01_32_11_142_812.97658 - пустой, пропускаю
Файл:prof01_57_31_027_812.38681 - время обработки 40 пакетов (документов: 300195): 00:25:21.042, сброс в БД: 00:15:08.801 (59 % от общего времени)
Файл:prof01_59_37_080_812.22692 - время обработки 20 пакетов (документов: 681763): 00:55:19.683, сброс в БД: 00:33:48.193 (61 % от общего времени)
Файл:prof01_59_37_085_812.22845 - время обработки 80 пакетов (документов: 883420): 01:10:55.680, сброс в БД: 00:43:36.847 (61 % от общего времени)
Файл:prof01_59_38_039_812.22743 - время обработки 40 пакетов (документов: 548427): 00:46:35.944, сброс в БД: 00:27:46.723 (59 % от общего времени)
Файл:prof01_59_38_046_812.22934 - время обработки 60 пакетов (документов: 654040): 00:55:41.463, сброс в БД: 00:32:54.233 (59 % от общего времени)
Файл:prof01_59_38_048_812.22937 - время обработки 30 пакетов (документов: 625128): 00:52:25.204, сброс в БД: 00:31:17.623 (59 % от общего времени)
Файл:prof01_59_39_075_812.22698 - время обработки 50 пакетов (документов: 899554): 01:14:00.054, сброс в БД: 00:44:53.087 (60 % от общего времени)
Файл:prof01_59_58_109_812.22805 - время обработки 50 пакетов (документов: 646953): 00:53:11.487, сброс в БД: 00:32:14.852 (60 % от общего времени)
Файл:prof02_02_43_020_812.101193 - пустой, пропускаю
Файл:prof02_18_31_022_812.103000 - пустой, пропускаю
Файл:prof03_35_37_251_812.112746 - пустой, пропускаю
Файл:prof03_58_19_045_812.115644 - пустой, пропускаю
Файл:prof04_58_47_035_812.3969 - пустой, пропускаю
Файл:prof05_27_02_058_812.7528 - пустой, пропускаю
Файл:prof05_34_33_119_812.8419 - пустой, пропускаю
Файл:prof05_39_00_025_812.8958 - пустой, пропускаю
Файл:prof05_49_32_048_812.10128 - пустой, пропускаю
Файл:prof06_25_13_054_812.14318 - пустой, пропускаю
Файл:prof06_28_26_040_812.14653 - пустой, пропускаю
Файл:prof06_35_38_029_812.15653 - пустой, пропускаю
Файл:prof06_38_30_052_812.16015 - пустой, пропускаю
Файл:prof06_41_41_063_812.16379 - пустой, пропускаю
Файл:prof06_43_37_038_812.16578 - пустой, пропускаю
Файл:prof06_47_38_064_812.17037 - пустой, пропускаю
Файл:prof06_48_06_030_812.17069 - пустой, пропускаю
Файл:prof07_09_20_051_812.19761 - пустой, пропускаю
Файл:prof07_14_03_064_812.20268 - пустой, пропускаю
Файл:prof07_58_21_032_812.25540 - пустой, пропускаю
Файл:prof08_06_17_035_812.94950 - время обработки 80 пакетов (документов: 1407636): 02:03:51.051, сброс в БД: 01:12:38.360 (58 % от общего времени)
Файл:prof08_06_17_039_812.91548 - время обработки 60 пакетов (документов: 1531060): 02:07:15.969, сброс в БД: 01:16:57.020 (60 % от общего времени)
Файл:prof08_08_19_066_812.77339 - время обработки 90 пакетов (документов: 2014178): 02:53:19.999, сброс в БД: 01:41:13.416 (58 % от общего времени)
