Файл:prof13_28_25_087_812.108221 - пустой, пропускаю
Файл:prof13_28_59_025_812.108273 - пустой, пропускаю
Файл:prof13_31_37_054_812.108680 - пустой, пропускаю
Файл:prof14_33_24_064_812.116662 - пустой, пропускаю
Файл:prof14_44_15_045_812.117881 - пустой, пропускаю
Файл:prof15_19_11_069_812.2310 - пустой, пропускаю
Файл:prof15_23_12_220_812.107230 - время обработки 40 пакетов (документов: 444235): 00:35:06.239, сброс в БД: 00:21:04.031 (60 % от общего времени)
Файл:prof15_23_37_095_812.2786 - пустой, пропускаю
Файл:prof15_25_21_118_812.2957 - пустой, пропускаю
Файл:prof15_55_03_073_812.107313 - время обработки 20 пакетов (документов: 349368): 00:28:17.816, сброс в БД: 00:16:41.850 (59 % от общего времени)
Файл:prof15_55_04_039_812.3124 - время обработки 475 пакетов (документов: 63223): 00:04:59.405, сброс в БД: 00:02:55.579 (58 % от общего времени)
Файл:prof15_58_24_043_812.5894 - пустой, пропускаю
Файл:prof16_23_17_107_812.8699 - пустой, пропускаю
Файл:prof16_25_03_116_812.8868 - пустой, пропускаю
Файл:prof16_28_07_119_812.9207 - пустой, пропускаю
Файл:prof16_36_41_061_812.10186 - пустой, пропускаю
Файл:prof16_54_34_066_812.12256 - пустой, пропускаю
Файл:prof18_01_34_128_812.20066 - пустой, пропускаю
Файл:prof18_09_59_058_812.21290 - пустой, пропускаю
Файл:prof18_32_53_020_812.24419 - пустой, пропускаю
Файл:prof18_34_27_095_812.24652 - пустой, пропускаю
Файл:prof18_49_50_061_812.26639 - пустой, пропускаю
Файл:prof19_07_47_036_812.29185 - пустой, пропускаю
Файл:prof19_09_55_030_812.29419 - пустой, пропускаю
Файл:prof19_28_23_074_812.31789 - пустой, пропускаю
Файл:prof20_22_33_080_812.38623 - пустой, пропускаю
Файл:prof20_23_16_097_812.38705 - пустой, пропускаю
Файл:prof20_23_37_077_812.38740 - пустой, пропускаю
Файл:prof20_33_21_040_812.39843 - пустой, пропускаю
Файл:prof20_48_39_033_812.41619 - пустой, пропускаю
Файл:prof21_02_11_055_812.43295 - пустой, пропускаю
Файл:prof21_19_33_090_812.45491 - пустой, пропускаю
Файл:prof21_48_27_268_812.49093 - пустой, пропускаю
Файл:prof21_52_47_726_812.49555 - пустой, пропускаю
Файл:prof22_03_24_035_812.50847 - пустой, пропускаю
Файл:prof22_38_29_070_812.54872 - пустой, пропускаю
Файл:prof22_52_01_066_812.107239 - время обработки 50 пакетов (документов: 2025973): 02:41:39.089, сброс в БД: 01:38:41.405 (61 % от общего времени)
Файл:prof22_52_45_097_812.5600 - время обработки 120 пакетов (документов: 1633288): 02:12:23.640, сброс в БД: 01:19:31.635 (60 % от общего времени)
Файл:prof22_52_50_097_812.107457 - время обработки 80 пакетов (документов: 1768259): 02:23:37.766, сброс в БД: 01:26:42.580 (60 % от общего времени)
Файл:prof22_53_06_203_812.107464 - время обработки 120 пакетов (документов: 1881257): 02:33:11.414, сброс в БД: 01:31:40.471 (59 % от общего времени)
Файл:prof22_54_48_050_812.107460 - время обработки 100 пакетов (документов: 2141730): 02:51:12.925, сброс в БД: 01:44:03.652 (60 % от общего времени)
Файл:prof22_54_49_070_812.107224 - время обработки 90 пакетов (документов: 2137065): 02:48:32.880, сброс в БД: 01:42:16.468 (60 % от общего времени)
Файл:prof22_54_58_065_812.107367 - время обработки 90 пакетов (документов: 1843594): 02:33:07.911, сброс в БД: 01:29:46.210 (58 % от общего времени)
Файл:prof22_55_09_051_812.5611 - время обработки 60 пакетов (документов: 1294941): 01:46:38.653, сброс в БД: 01:04:18.965 (60 % от общего времени)
Общее - время обработки  1245 пакетов (документов: 15582933): 20:58:47.738, сброс в БД: 12:37:42.846 ( 60 % от общего времени)
