Файл:prof00_29_40_036_812.41030 - пустой, пропускаю
Файл:prof00_41_51_023_812.42432 - пустой, пропускаю
Файл:prof00_47_53_057_812.43116 - пустой, пропускаю
Файл:prof01_11_12_229_812.45805 - пустой, пропускаю
Файл:prof01_12_07_077_812.45899 - пустой, пропускаю
Файл:prof01_13_26_047_812.46084 - пустой, пропускаю
Файл:prof01_57_31_027_812.38681 - время обработки 40 пакетов (документов: 300195): 00:25:21.042, сброс в БД: 00:15:08.801 (59 % от общего времени)
Файл:prof01_59_37_080_812.22692 - время обработки 20 пакетов (документов: 681763): 00:55:19.683, сброс в БД: 00:33:48.193 (61 % от общего времени)
Файл:prof01_59_37_085_812.22845 - время обработки 80 пакетов (документов: 883420): 01:10:55.680, сброс в БД: 00:43:36.847 (61 % от общего времени)
Файл:prof01_59_38_039_812.22743 - время обработки 40 пакетов (документов: 548427): 00:46:35.944, сброс в БД: 00:27:46.723 (59 % от общего времени)
Файл:prof01_59_38_046_812.22934 - время обработки 60 пакетов (документов: 654040): 00:55:41.463, сброс в БД: 00:32:54.233 (59 % от общего времени)
Файл:prof01_59_38_048_812.22937 - время обработки 30 пакетов (документов: 625128): 00:52:25.204, сброс в БД: 00:31:17.623 (59 % от общего времени)
Файл:prof01_59_39_075_812.22698 - время обработки 50 пакетов (документов: 899554): 01:14:00.054, сброс в БД: 00:44:53.087 (60 % от общего времени)
Файл:prof01_59_58_109_812.22805 - время обработки 50 пакетов (документов: 646953): 00:53:11.487, сброс в БД: 00:32:14.852 (60 % от общего времени)
Файл:prof10_44_46_029_812.106939 - пустой, пропускаю
Файл:prof10_47_24_044_812.107372 - пустой, пропускаю
Файл:prof10_49_54_030_812.107703 - пустой, пропускаю
Файл:prof10_52_12_030_812.107950 - пустой, пропускаю
Файл:prof10_52_49_064_812.108049 - пустой, пропускаю
Файл:prof11_18_46_041_812.111528 - пустой, пропускаю
Файл:prof11_23_36_045_812.112146 - пустой, пропускаю
Файл:prof12_05_23_099_812.117137 - пустой, пропускаю
Файл:prof12_09_53_046_812.74580 - пустой, пропускаю
Файл:prof12_16_13_494_812.74491 - время обработки 10 пакетов (документов: 22135): 00:02:01.142, сброс в БД: 00:01:03.852 (52 % от общего времени)
Файл:prof12_16_13_558_812.74654 - время обработки 130 пакетов (документов: 18905): 00:01:27.251, сброс в БД: 00:00:52.495 (60 % от общего времени)
Файл:prof12_16_13_567_812.74657 - время обработки 324 пакетов (документов: 14790): 00:01:26.448, сброс в БД: 00:00:45.381 (52 % от общего времени)
Файл:prof12_16_13_624_812.74660 - время обработки 226 пакетов (документов: 26221): 00:02:13.468, сброс в БД: 00:01:15.414 (56 % от общего времени)
Файл:prof12_16_13_693_812.74508 - время обработки 135 пакетов (документов: 27528): 00:02:04.992, сброс в БД: 00:01:14.985 (59 % от общего времени)
Файл:prof12_16_13_728_812.74502 - время обработки 232 пакетов (документов: 24283): 00:01:53.632, сброс в БД: 00:01:06.715 (58 % от общего времени)
Файл:prof12_16_24_274_812.74511 - время обработки 267 пакетов (документов: 18564): 00:01:36.367, сброс в БД: 00:00:54.261 (56 % от общего времени)
Файл:prof12_16_24_288_812.74651 - время обработки 332 пакетов (документов: 16704): 00:01:32.038, сброс в БД: 00:00:47.089 (51 % от общего времени)
Файл:prof12_30_31_122_812.119936 - пустой, пропускаю
Файл:prof12_34_58_064_812.732 - пустой, пропускаю
Файл:prof12_39_19_083_812.106015 - время обработки 40 пакетов (документов: 396388): 00:33:33.937, сброс в БД: 00:20:01.548 (59 % от общего времени)
Файл:prof12_41_27_057_812.1446 - пустой, пропускаю
Файл:prof12_42_25_117_812.1528 - пустой, пропускаю
Файл:prof12_48_13_115_812.1983 - пустой, пропускаю
Файл:prof12_53_31_599_812.2485 - пустой, пропускаю
Файл:prof13_10_40_096_812.106212 - время обработки 30 пакетов (документов: 474646): 00:39:59.353, сброс в БД: 00:23:53.755 (59 % от общего времени)
Файл:prof13_28_25_087_812.108221 - пустой, пропускаю
Файл:prof13_28_59_025_812.108273 - пустой, пропускаю
Файл:prof13_31_37_054_812.108680 - пустой, пропускаю
Файл:prof13_53_30_082_812.8978 - пустой, пропускаю
Файл:prof14_06_27_033_812.10521 - пустой, пропускаю
Файл:prof14_33_24_064_812.116662 - пустой, пропускаю
Файл:prof14_44_15_045_812.117881 - пустой, пропускаю
Файл:prof15_05_22_018_812.95046 - пустой, пропускаю
Файл:prof15_08_28_029_812.95366 - пустой, пропускаю
Файл:prof15_11_40_090_812.95805 - пустой, пропускаю
Файл:prof15_13_10_133_812.96018 - пустой, пропускаю
Файл:prof15_19_11_069_812.2310 - пустой, пропускаю
Файл:prof15_23_12_220_812.107230 - время обработки 40 пакетов (документов: 444235): 00:35:06.239, сброс в БД: 00:21:04.031 (60 % от общего времени)
Файл:prof15_23_37_095_812.2786 - пустой, пропускаю
Файл:prof15_25_21_118_812.2957 - пустой, пропускаю
Файл:prof15_47_52_024_812.100419 - пустой, пропускаю
Файл:prof15_55_03_073_812.107313 - время обработки 20 пакетов (документов: 349368): 00:28:17.816, сброс в БД: 00:16:41.850 (59 % от общего времени)
Файл:prof15_55_04_039_812.3124 - время обработки 475 пакетов (документов: 63223): 00:04:59.405, сброс в БД: 00:02:55.579 (58 % от общего времени)
Файл:prof15_58_24_043_812.5894 - пустой, пропускаю
Файл:prof16_10_32_034_812.103188 - пустой, пропускаю
Файл:prof16_23_17_107_812.8699 - пустой, пропускаю
Файл:prof16_25_03_116_812.8868 - пустой, пропускаю
Файл:prof16_28_07_119_812.9207 - пустой, пропускаю
Файл:prof16_36_41_061_812.10186 - пустой, пропускаю
Файл:prof16_38_10_029_812.106391 - пустой, пропускаю
Файл:prof16_46_38_066_812.107416 - пустой, пропускаю
Файл:prof16_54_34_066_812.12256 - пустой, пропускаю
Файл:prof16_55_49_039_812.108230 - пустой, пропускаю
Файл:prof16_59_57_056_812.108610 - пустой, пропускаю
Файл:prof17_00_13_054_812.108676 - пустой, пропускаю
Файл:prof17_00_38_093_812.108722 - пустой, пропускаю
Файл:prof17_07_25_210_812.94400 - время обработки 40 пакетов (документов: 240354): 00:21:17.637, сброс в БД: 00:12:12.494 (57 % от общего времени)
Файл:prof17_08_35_062_812.109635 - пустой, пропускаю
Файл:prof17_10_35_107_812.109795 - пустой, пропускаю
Файл:prof17_12_29_084_812.109938 - пустой, пропускаю
Файл:prof17_15_50_290_812.110215 - пустой, пропускаю
Файл:prof17_18_27_284_812.110500 - пустой, пропускаю
Файл:prof17_21_02_250_812.110750 - пустой, пропускаю
Файл:prof17_31_30_029_812.94388 - время обработки 20 пакетов (документов: 555824): 00:44:07.486, сброс в БД: 00:26:35.844 (60 % от общего времени)
Файл:prof17_31_45_036_812.110393 - время обработки 116 пакетов (документов: 5011): 00:00:29.106, сброс в БД: 00:00:14.590 (50 % от общего времени)
Файл:prof17_32_37_020_812.111857 - пустой, пропускаю
Файл:prof17_39_19_835_812.94589 - время обработки 3723 пакетов (документов: 556441): 00:45:15.341, сброс в БД: 00:26:54.449 (59 % от общего времени)
Файл:prof17_39_19_841_812.94475 - время обработки 30 пакетов (документов: 483398): 00:40:40.748, сброс в БД: 00:24:00.104 (59 % от общего времени)
Файл:prof17_39_19_869_812.111946 - время обработки 189 пакетов (документов: 12654): 00:01:09.227, сброс в БД: 00:00:36.427 (52 % от общего времени)
Файл:prof17_39_19_881_812.112055 - время обработки 10 пакетов (документов: 1358): 00:00:10.614, сброс в БД: 00:00:04.263 (40 % от общего времени)
Файл:prof17_39_19_889_812.94561 - время обработки 50 пакетов (документов: 424865): 00:35:30.203, сброс в БД: 00:21:09.150 (59 % от общего времени)
Файл:prof17_39_19_901_812.94717 - время обработки 10 пакетов (документов: 591496): 00:46:27.443, сброс в БД: 00:28:08.545 (60 % от общего времени)
Файл:prof17_39_19_914_812.94394 - время обработки 30 пакетов (документов: 489784): 00:38:17.615, сброс в БД: 00:23:08.726 (60 % от общего времени)
Файл:prof17_39_19_918_812.94605 - время обработки 30 пакетов (документов: 466666): 00:37:58.993, сброс в БД: 00:22:38.839 (59 % от общего времени)
Файл:prof17_49_19_021_812.114003 - пустой, пропускаю
Файл:prof17_58_31_074_812.115050 - пустой, пропускаю
